source,destination,weight
CT 2.01,CT 2.02,0.85
CT 2.02,CT 15,2.8
CT 2.02,CT 16,1.6
CT 2.02,CT 144,3.7
CT 3.01,CT 2.01,1.2
CT 3.01,CT 2.02,1.4
CT 3.01,CT 15,2.4
CT 3.02,CT 3.01,0.6
CT 3.02,CT 15,2
CT 4,CT 3.02,0.9
CT 4,CT 14,1.9
CT 5,CT 4,1.4
CT 5,CT 13,1.8
CT 6,CT 5,0.95
CT 6,CT 12,1.4
CT 7,CT 6,1.1
CT 7,CT 11,2
CT 8,CT 7,2.7
CT 8,CT 9,2.7
CT 8,CT 107.01,3.9
CT 8,CT 107.02,4.8
CT 8,CT 110,3.7
CT 9,CT 7,2.1
CT 9,CT 10,5.1
CT 9,CT 11,2.9
CT 10,CT 11,4.4
CT 10,CT 21,4.9
CT 10,CT 36.01,14.7
CT 11,CT 12,1.2
CT 11,CT 20,2.8
CT 11,CT 21,2
CT 11,CT 36.01,12.2
CT 12,CT 13,1.2
CT 12,CT 20,2.6
CT 13,CT 14,1.5
CT 13,CT 19,2.1
CT 14,CT 15,1.5
CT 14,CT 18,2.7
CT 14,CT 19,2.2
CT 14,CT 25.01,2.2
CT 15,CT 16,1.5
CT 15,CT 18,2
CT 15,CT 25.01,2.9
CT 16,CT 26,3.7
CT 16,CT 144,2.6
CT 18,CT 25.02,1.3
CT 18,CT 26,2.3
CT 19,CT 24,1.9
CT 19,CT 25.01,1.8
CT 20,CT 19,1.3
CT 20,CT 24,2
CT 21,CT 20,1
CT 21,CT 23,1.8
CT 23,CT 24,2.2
CT 23,CT 36.02,3.2
CT 24,CT 25.02,3
CT 24,CT 35,1.9
CT 25.01,CT 18,1.8
CT 25.01,CT 24,2.4
CT 25.01,CT 25.02,1.5
CT 25.02,CT 26,1.8
CT 25.02,CT 145,2.9
CT 29,CT 46.02,1.9
CT 30,CT 29,1.8
CT 30,CT 46.01,2.1
CT 31,CT 30,2.1
CT 31,CT 41,2.5
CT 31,CT 45,2.5
CT 31,CT 46.01,2.4
CT 32,CT 31,2.1
CT 32,CT 41,1.8
CT 35,CT 32,1.9
CT 35,CT 40.01,2.2
CT 35,CT 145,3.8
CT 36.01,CT 21,10.6
CT 36.01,CT 23,9.8
CT 36.02,CT 35,1.9
CT 36.02,CT 40.02,1.4
CT 38,CT 36.02,2.6
CT 39,CT 43,9.5
CT 40.01,CT 32,1.9
CT 40.01,CT 41,1.4
CT 40.01,CT 42,2
CT 40.02,CT 40.01,0.85
CT 41,CT 42,1.3
CT 41,CT 45,2.6
CT 42,CT 39,11.2
CT 42,CT 43,1.7
CT 42,CT 45,2.8
CT 43,CT 44,1.8
CT 44,CT 47.02,1.3
CT 44,CT 49,2.4
CT 45,CT 44,1.9
CT 45,CT 46.01,3.6
CT 46.01,CT 46.02,1.8
CT 46.01,CT 47.02,3.6
CT 46.02,CT 47.01,1.3
CT 47.01,CT 48,1.3
CT 47.02,CT 47.01,1.8
CT 49,CT 48,2.8
CT 49,CT 50,3.5
CT 107.01,CT 107.02,2.8
CT 107.01,CT 110,4.1
CT 108,CT 107.02,5.1
CT 108,CT 109.01,2.3
CT 108,CT 109.02,1.5
CT 108,CT 111.02,2.8
CT 108,CT 112.03,4.7
CT 109.01,CT 107.01,5.7
CT 109.01,CT 109.02,1.9
CT 109.01,CT 110,1.9
CT 109.01,CT 111.03,2.6
CT 109.02,CT 107.01,6.4
CT 109.02,CT 107.02,4.6
CT 110,CT 5,2
CT 110,CT 6,2.1
CT 110,CT 7,3
CT 110,CT 111.03,1.6
CT 111.02,CT 109.01,2
CT 111.02,CT 109.02,3.1
CT 111.02,CT 111.04,2.6
CT 111.02,CT 112.03,3.1
CT 111.03,CT 4,1.5
CT 111.03,CT 5,2
CT 111.03,CT 111.04,0.7
CT 111.04,CT 3.02,2
CT 111.04,CT 4,1.5
CT 111.04,CT 112.04,1.3
CT 112.03,CT 2.01,4.6
CT 112.03,CT 112.04,5.1
CT 112.04,CT 2.01,2.3
CT 112.04,CT 3.01,1.6
CT 112.04,CT 3.02,2
CT 145,CT 29,4.2
CT 145,CT 30,2.5
CT 145,CT 31,3.7
